posting_id,yearmonth,city,state,zip,fips,company_name,company_naics,company_isstaffingfirm,master_company_name,master_company_naics,master_company_isstaffingfirm,onet,cb_jobtitle_id,cb_jobtitle,edulevels_name,source,subsource,original_jobtitle,url,description,ad_length,unif,so_nra,so_nri,so_rc,so_rm,so_nrm,dk_ps,dk_soc,dk_char,dk_writing,dk_customer,dk_proj,dk_people,dk_financial,dk_computer,cnty_pop,county,pop,landarea,density,_merge_cnty_d,_merge_cnty,logpop_fips,logpopden,source_id1,source_id2,source_id3,source_id4,soc,edcat1,edcat2,edcat3,edcat4,edcat5,edcat6,edcat7,edcat8,edcat9,edcat10,edcat11,edcat12,edcat13,edcat14,edcat15,edcat16,edcat17,edcat18,edcat19,edcat20,edcat21,edcat22,edcat23,edcat24,edcat25,ba,hsonly,dt_multi,csbsa,cbsa,cbsatitle,cbsa_label,logpop_cbsa,_merge_cbsa
201307_97529,201307,"Prattville, AL",AL,,1001,h&r block inc,541213,FALSE,h&r block inc,541213,FALSE,13-2011.01,13.5,Tax Preparers,['High school or GED'],53a546d9,.,First Year Tax Professional,http://www.linkup.com/job-search-engine/cb/?job=9ace6b28773a2791feee6847f49eafac,"our tax professionals look at our client 's life through tax and find ways to help ! h & r ; block has been focused on quality client_service for more than five decades and is the largest tax prepare r in the industry . 1 as a representative of h & r ; block , you are responsible for preparing complete and accurate tax returns while delivering outstanding client_service . the first_year tax professional duties include : conducting tax interviews with clients ensuring client confidentiality and privacy irs audit support and attendance offering additional products and services generating business growth growing tax expertise other duties as assigned 1 based on annual revenues for sales of tax preparation products and services minimum_qualifications education high_school diploma or equivalent . additional course work in math , accounting , or finance is preferred . skills and experience experience necessary to apply may be acquired through the successful completion of the h & r ; block income tax course with a grade of 70 % or better , or may be demonstrated through successful completion of the h & r ; block tax knowledge assessment exam . additional experience for this position is acquired through mentoring programs and training upon hiring . ability to perform successfully in a fast_paced environment . must_have strong verbal and written communication skills , and the ability to effectively communicate in_person . previous experience in a customer_service environment is preferred . knowledge and experience with a windows_based computer system is preferred . apply now save to cart conducting bach f6f5fe bets arc setter duties of .",223,0.083993867,8.9686098,8.9686098,4.4843049,8.9686098,0,8.9686098,8.9686098,0,8.9686098,31.390135,0,8.9686098,13.452915,8.9686098,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,132011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201603_1877263,201603,"Prattville, AL",AL,,1001,kfc,722513,FALSE,kfc,722513,FALSE,35-1012.00,35.3022,Restaurant Supervisors,[],53a546d9,,KFC Shift Supervisor - J718307,http://www.linkup.com/job-search-engine/cb/?job=53d6c5e9bf660843814af4bd8f927e80,"at kfc , we feed the world . but we do more than fill people up . we fulfill their life . our meals matter , and when we serve them with southern hospitality , we make our customer s day . so our jobs are more than a paycheck they re about being independent , having fun , and making new friends . if you re ready for a career in restaurant management , our shift supervisor position is the right place to start . working as a shift supervisor lets you develop your management_skills while still having the time to do the things you enjoy . you ll benefit from our training and career_opportunities and receive reward and recognition for your efforts . what are we looking for ? the good news is that your training will teach you everything you need to know to succeed on_the_job . but there are a few skills you should have from the get_go : we have a great culture at kfc and look for great people to add to our family . you know who you are -- honest , energetic and fun . able to get along and talk easily with people . you re never short of a smile and take real pride in your work ; cope well under pressure and thrive on a challenge . a natural leader , you want to be captain because you can bring together a winning team . . you re all about teaching new things and motivating the team to work together . you set high standards for yourself and the people you work with you love keeping things fun for the team and the customers . you want to learn how to run great restaurants from the best restaurant managers in the business . and , you re at least 18 years old with a valid driver s license , reliable transportation ( not public transportation you may need to drive to make deposits for the restaurant sometimes ) and a true desire to learn and grow . keep in mind , this is just basic information . you ll find out more after you apply . and independently_owned franchised or licensed locations may have different requirements . we ve got great jobs for people just starting their careers , looking for a flexible second job or continuing to work after retirement . at kfc , what you do matters ! if you want a fun , flexible job and be part of a winning team , find out now why life tastes better with kfc . apply today ! bach f6f5fe bets arc setter .",382,0.019878846,5.2356019,7.8534031,0,5.2356019,2.617801,0,0,7.8534031,0,7.8534031,2.617801,5.2356019,0,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,351012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201601_2172040,201601,"Prattville, AL",AL,,1001,kfc,722513,FALSE,kfc,722513,FALSE,35-1012.00,35,Restaurant Managers,[],53a546d9,,KFC Assistant Restaurant Manager - J718307,http://www.linkup.com/job-search-engine/cb/?job=72af617dc73205ea084fc336e319dd6a,"at kfc , we feed the world . but we do more than fill people up . we fulfill their life . our meals matter , and when we serve them with southern hospitality , we make our customer s day . so our jobs are more than a paycheck they re about being independent , having fun , and making new friends . if you re looking to be a manager of your own business but don t know_how to get started , check_out our assistant restaurant manager position . as an assistant restaurant manager , you are second in command of a $ 1 million+ business . working with your restaurant general_manager , you grow the business by making our customers day . and when you do , you get rewarded in a big way . what are we looking for ? the good news is that your training will teach you everything you need to know to succeed on_the_job . but there are a few skills you should have from the get_go : a natural leader , you want to be co_captain because you can help bring together a winning team . you re all about creating a great place to work for the team . you want to make your customer s day and it shows in the way you are maniacal about serving great_tasting chicken with a great big smile . we have a great culture and look for great people to add to our family . you know who you are -- honest , energetic , motivational and fun . you set high standards for yourself and for the team . you re up for a challenge . you love the excitement of the restaurant business and know every_day is different . and , you re at least 18 years old with a valid driver s license , reliable transportation ( not public transportation you may need to drive to make deposits for the restaurant sometimes ) and a true desire to learn and grow . keep in mind , this is just basic information . you ll find out more after you apply . and independently_owned franchised or licensed locations may have different requirements . at kfc , what you do matters ! so if you want to be part of a winning team , find out now why life tastes better with kfc . apply today ! about because a want working and manager bets arc setter bach f6f5fe a .",349,0.13112399,5.730659,5.730659,0,5.730659,2.8653295,0,0,5.730659,0,8.5959883,0,0,0,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,351012,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201602_393697,201602,"Prattville, AL",AL,,1001,aspen dental,621210,FALSE,aspen dental mgmt inc,621210,FALSE,29-1021.00,29.719999,Dentists,['Ph.D. or professional degree'],c20b8969,b72f292c,Associate Dentist â DDS / DMD (General Dental Practice),https://dentistjobs-aspendental.icims.com/jobs/20847/associate-dentist-%E2%80%93-dds---dmd-%28general-dental-practice%29/job?in_iframe=1,"as a dentist with an aspen dental_branded practice you are not only making a statement that you are committed to providing quality dental care but you are also becoming a part of a collaborative network of dental professionals . we re on a mission to give america a healthy mouth . for an estimated 47 million americans , lack of access to affordable dental care is a real problem and by aligning with aspen dental you can be part of the solution . as an aspen dentist , you can expect to see a steady flow of new patients every_day that are ready to get their smile back . daily procedures include restoration ( fillings ) , crown and bridge and core build-ups ( veneers , on lays , inlays ) , extractions , removable prosthodontics , and providing comprehensive treatment plans . and at the end of the day you 'll find your career is truly rewarding . you will have clinical autonomy and be able to focus your entire day on providing quality patient_care . you will have the support of highly_skilled , trained office staff and the operational and administrative aspects of the practice will be taken care of by aspen dental management , inc . s ( adm i ) business teams . you can enjoy access to free continuing education and training through the doctor development program , as well as the opportunity to own your own practice through the practice ownership program . what is offered : aggressive compensation_package premium benefits_package sign_on bonuses for select locations relocation assistancestate-of-the-art practices about aspen dental_branded practices aspen dental_branded practices are independently_owned and operated by licensed dentists . the practices receive non_clinical business support services from aspen dental management , inc . , a dental support organization . educate patients on oral health . complete comprehensive full mouth exams and diagnose dental conditions . assess treatment planning options and discuss with patient . carry_out agreed clinical treatments . maintain patients ' medi_cal records . assist in the recruitment , training , and management of staff . keep abreast of new developments in dentistry through structured continuing professional developments . . must be a dds or dmd from an accredited school .",316,0.060073305,15.822784,6.329114,0,6.329114,0,3.164557,0,6.329114,0,9.4936705,9.4936705,9.4936705,3.164557,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,0,1,0,291021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201601_567886,201601,"Prattville, AL",AL,,1001,fresenius medical care,621492,FALSE,fresenius medical care,621492,FALSE,29-1141.00,29,Registered Nurses,[],53a546d9,,Acute Coordinator RN 5K SIGN ON BONUS,http://www.linkup.com/job-search-engine/cb/?job=59e4c6edca2c2ce87318a73abe75e5a9,"description provide your personal attention and kindness , professional insight , and a generosity of spirit . offer expertise and encouragement . enhance each patient s future as well as your own . 5k sign_on bonus and relocation assistance is available connect with your goals and change lives with fresenius medi_cal care north_america . here , we make connections that empower patients , their families , and our team members . as the global leader in dialysis health_care , we form bonds that enable the best possible outcomes and professional satisfaction . while our extensive organization continues to grow , so do opportunities for our professionals to learn , grow , and advance . why join the fresenius team ? passion . dedication . knowledge . motivation . experience . these are the impressive qualities you ll find in the fresenius leadership team . our strength in the north american market and extensive global network provide our employees with the best of both worlds the friendliness of a local organization and the stability of a world_wide organization for diverse experiences and challenging career_opportunities . when you join the fresenius medi_cal care team , you ll be welcomed into a company that is built on the philosophy that our employees are our most important asset . our career advantages include the following : fresenius medi_cal care is the nation s largest provider of renal care , meeting the needs of more than 135 , 000 patients at 1 , 800 clinics throughout the country . our well_established , trusted organization fosters a spirit of camaraderie , emphasizing friendly collaboration , professional support , and career_development . superior training , ultra care tqc , and certification procedures ensure your potential to succeed and advance as a professional . competitive compensation and exceptional benefits . outstanding tuition_reimbursement program . recognized among fortune s world s most admired companies in 2011 . national safety award from cna insurance companies for 11 consecutive years . opportunities to give back by participating in philanthropy and community outreach programs . acute coordinator here is a rare opportunity to use a variety of skills and help others live better lives . the professional we select will ensure appropriate provision of acute dialysis services and treatments within assigned , contracted hospitals and facilities . this individual will co_ordinate , schedule , and direct acute patient_care staff to provide coverage , and perform acute treatments . providing day_to_day team guidance and support , this position ensures provision of related services , including continuous renal replacement therapy ( cr rt ) , hemoperfusion , peritoneal dialysis and plasmapheresis . purpose and scope : supports fmcna s mission , vision , core values and customer_service philosophy . adheres to the fmcna compliance program , including following all regulatory and fms policy requirements . ensures appropriate provision of acute dialysis services and treatments within assigned hospitals / facilities by coordinating , scheduling , and directing acute patient_care staff and by performing acute treatments as_needed . ensures the provision of quality patient_care to all hospitalized patients in the most efficient manner in accordance with company policy , as well as regulations set forth by the company , state and federal agencies . duties / activities : customer_service : responsible for driving the fms culture through values and customer_service standards . accountable for outstanding customer_service to all external and internal customers . develops and maintains effective relationships through effective and timely communication . takes initiative and action to respond , resolve and follow_up regarding customer_service issues with all customers in a timely_manner . principal responsibilities and duties general and staff related : co_ordinate and schedule direct patient_care staff to provide coverage of acute dialysis treatments in contracted hospitals / facilities and ensure efficient patient scheduling and staff utilization . ensure all acute treatments are performed in contracted hospitals / facilities according to the established policies and procedures and in compliance with all applicable regulatory requirement and ensure accurate documentation of information related to patient treatment . provide day_to_day guidance , support and direction to acute patient_care staff , providing informal feedback on an on_going basis and formal feedback input for the annual performance evaluation , if applicable . participate in the department staffing and the appropriate hiring , firing and disciplinary actions . recommend disciplinary action to the director operations / area manager / clinical manager and initiate as appropriate . ensure provision of dialysis_related services such as continuous renal replacement therapy ( cr rt ) , hemoperfusion , peritoneal dialysis , and plasmapheresis as contracted . acquire information in the latest developments of dialysis techniques ( and dialysis_related services , if applicable ) by participating in all scheduled in_service classes . develop , implement and maintain a quality assessment and improvement ( qai ) program to ensure the provision of quality patient_care and compliance with all joint commission and other regulatory_requirements . maintain documentation of all activities . inform director operations / area manager / clinical manager of progress made in aspects of acute_care program . participate in qai meetings quarterly to assure proper reporting of acute qai activities conduct and document acute staff meetings on a regular_basis if appropriate ensure a proper orientation and training_program for all acute staff . ensure that continuing in_service is provided to all clinical and technical staff . maintain documentation of all training . patient_care : assess daily patient_care needs and communicate concerns to attending physician . implement changes in_patient care / treatment as directed . perform acute treatments according to direct patient_care staffing ratio and oversee all dialysis_related medi_cal and emergency functions . communicates with the physician and other members of the health_care team to interpret , adjust , and complete patient_care plans . continuously monitor patient s condition with regards to problems and potential complications associated with dialysis . administer medications to patients per physician s orders . act as the subject_matter expert and as a resource for staff_members . technical : co_ordinate with appropriate technical staff to ensure preventative maintenance program for routine machine maintenance , to ensure the timely repair of disabled machines , to co_ordinate infection control measures , routine water culturing , water testing , logging of results , transportation of equipment and supplies , and communicate technical information to the staff . ensure efficient utilization of supplies and equipment . when necessary , operate all dialysis_related and emergency equipment safely and efficiently . administration : serve as liaison between the administrative staff of each hospital / facility and the fms area manager / clinical manager . collaborate with do / am and market development group to grow acute program . oversee all business office activities inclusive of treatment billing , payroll and purchase orders . assure that all acute treatment logs are sent to the hospital / facility business office and the fms billing group in a timely_manner . submit required monthly reports to the do / am , acute_care manager , or clinical manager on a timely basis . assure effective communications between hospital / facility and regional admission personnel . practice cost containment strategies in all areas including medi_cal supply inventory and personnel . other : other duties as assigned . physical demands and working_conditions : the physical demands and work_environment characteristics described here are representative of those an employee encounters while performing the essential functions of this job . reasonable accommodations may be made to enable individuals with disabilities to perform the essential functions . day_to_day work includes desk and personal computer work and interaction with patients , facility staff and physicians . the position requires travel between assigned facilities and various locations within the community . travel to regional , business_unit and corporate meetings may be required . the work_environment is characteristic of a health_care facility with air temperature control and moderate noise levels . could possibly be exposed to infectious and contagious diseases / materials . education : graduate of an accredited school of nursing ( rn ) current appropriate state li_censure experience and required skills : dialysis experience required . 6 months dialysis experience in an acute setting preferred . minimum of 1 year medi_cal-surgical or icu-ccu nursing experience preferred . peritoneal dialysis experience required where program exists . demonstrated leadership competencies and skills for the position , including continuous quality_improvement , relationship development , results orientation , team_building , motivating employees , performance management , and decision_making . demonstrated management_skills necessary to provide leadership in the supervision of dialysis personnel and to ensure the delivery of maximum quality care to all patients . employees have to meet the necessary requirements if ishihara s color blindness test as a condition of employment . excellent communication ( written and verbal ) and customer_service skills . eo / aa employer : minorities / females / veterans / disability / sexual_orientation / gender identity quality bach f6f5fe bets arc setter with manager clinical our .",1263,0.12144269,7.1258907,7.1258907,3.1670625,11.084719,1.5835313,1.5835313,3.9588282,3.1670625,1.5835313,5.5423594,2.3752968,5.5423594,1.5835313,1.5835313,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,291141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201411_746286,201411,"Prattville, AL",AL,,1001,longhorn steakhouse,722511,FALSE,longhorn steakhouse,722511,FALSE,35-9011.00,37.200001,Environment Services Technicians,[],27635f1c,,Service Assistant,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=54971&partnerid=25377&siteid=5164,"work in a team_oriented , high_volume , fast_paced , guest_centric environment to deliver genuine western hospitality to our guests by : demonstrating genuine hospitality and helping to deliver an exceptional dining experience by engaging in friendly conversation as you seat guests in a timely fashion introducing guests to their server managing restaurant waiting list during high_volume to accurately set guest expectations clearing , cleaning and resetting tables to ensure they are ready for the next guest always sincerely thanking guests as they leave and inviting them to return .",81,0.14241536,0,12.345679,0,0,12.345679,0,0,24.691359,0,0,0,0,0,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,1,0,0,0,359011,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201608_585184,201608,"Prattville, AL",AL,,1001,taco bell corp,722513,FALSE,taco bell corp,722513,FALSE,35-3021.00,25.1003,Graduate Assistants,[],27635f1c,,Team Member - Graduate for Mas - 004338,https://sjobs.brassring.com/TGWebHost/jobdetails.aspx?jobId=78695&partnerid=25468&siteid=5012,"graduate for m s taco bell team member - cashier & food prep at taco bell corp . ( `` taco bell '' ) , we believe teens are our future , and we are proud that you made the commitment to stay in_school and graduate ! if you are 16-19 years old and participating in our graduate for m s program , you could have the chance to interview at your local taco bell restaurant ! teen team members may also be eligible for exclusive scholarships and will have access to educational resources available through the taco bell foundation for teens . if you can not find your local taco bell restaurant within this application system , please print out this graduate for m s certificate ( this shows you are a program participant ) , take it directly to the restaurant nearest to you , and ask for a job application . taco bell team member - cashier & food prep you enjoy people and providing friendly , accurate service to customers as well as your teammates and managers . key responsibilities include greeting customers in the restaurant or drive_thru , taking and ringing up orders , handling payment and thanking customers . you 'll also prepare and store food ingredients , assemble food and beverage orders , check to make sure they 're correct , package products , and maintain a clean , safe work and dining environment . team member behaviors include : being friendly and helpful to customers and co_workers . meeting customer_needs and taking steps to solve food or service issues . working well with teammates and accepting coaching from management_team . having a clean and tidy appearance and work habits . communicating with customers , teammates and managers in a positive manner this summary overview generally describes key job_duties for taco bell corporate employees . it is not all_inclusive , and a similar job at other brands , franchise or license locations may be different . .",279,0.09744297,3.5842295,7.1684589,0,0,0,0,0,7.1684589,0,10.752688,3.5842295,7.1684589,0,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,1,0,0,0,353021,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201506_1288721,201506,"Prattville, AL",AL,,1001,citigroup inc,522110,FALSE,citigroup inc,522110,FALSE,41-3031.02,41.200001,Sales Representatives,[],53a546d9,,"Consumer Lending Sales Representative â OneMain Financial â Prattville, AL",http://www.linkup.com/job-search-engine/cb/?job=b9f6ea78388ad128677482c59d216c40,"to work for one main financial you must be 18 years of age or older sales experience preferred customer_service experience preferred strong communication and customer relationship skills willingness to work flexible_hours . typical office hours are mon , wed and fri 8 : 30am to 5 : 30pm , tues and thurs 10 : 00am 7 : 00pm and up to 2 saturday s per month 9 : 00am -12 : 00pm . experience working in a goal_oriented sales environment knowledge of microsoft_word , outlook , excel , power point ability to perform individually as well as contribute positively to the branch team environment note the information listed within this description summary is intended to indicate the general nature and level of work . it is not designed to contain or be interpreted as a comprehensive account of all the responsibilities , and / or minimum_qualifications required of an employee assigned to this position . job grade and job level may vary based on work experience and qualifications . htfdmciti is an equal_opportunity and affirmative action_employer . minority / female / disability / veteran bets arc setter bach f6f5fe .",159,0.043561399,18.867924,12.578616,0,12.578616,0,0,12.578616,6.2893081,0,25.157232,6.2893081,0,6.2893081,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,413031,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201509_278444,201509,"Prattville, AL",AL,,1001,american family care inc,621111,FALSE,american family care inc,621111,FALSE,31-9092.00,31.1,Medical Assistants,"[""Associate's degree""]",53a546d9,,Medical Assistant,http://www.linkup.com/job-search-engine/cb/?job=e0d2f89e0febc647d566671592b40324,"summary provides general nursing_care to patients in out_patient clinic setting by performing the following duties . essential duties and responsibilities take temperature , pulse , blood pressure , and other vital signs to detect deviations from normal . explain prescribed procedures and treatments to patients . prepare equipment and aid physician during treatment and examination of patient . ensure all ordered tests are performed accurately and in a timely_manner . administer prescribed medications and treatments in accordance with approved nursing techniques . maintain awareness of comfort and needs of the patient . observe patient , record significant conditions and reactions , and notify supervisor or physician of patient s condition and reaction to drugs , treatments , and significant incidents . respond to life_saving situations based upon nursing standards , policies , procedures , and protocol . perform all drug screening procedures in accordance with established rules and regulations . ensure patient immunizations are appropriate , well documented and administered using approved nursing techniques . conduct physician referrals as well as service pre-certifications on an as_needed basis . document nursing history and physical assessment of patients . rotate among various clinical services such as lab , nursing and x_ray . prepare rooms ; sterilize instruments , equipment , and supplies for procedures . ensure work area is neat and clean , fully stocked and all laundry items have been laundered and put away . manage difficult and emotional customer situations . demonstrate accuracy and thoroughness . maintain complete and accurate documentation . observe safety and security procedures ; promote a safe and pleasant work_environment . report potentially unsafe conditions to management . respond to all patient messages ; documenting conversations in electronic medi_cal records system , assist with any patient discharging duties and share responsibility of call back sheets . regular attendance to ensure efficient clinic operations . other duties and responsibilities as assigned . education and experience associates_degree ( aa ) or equivalent from a two_year college or technical school ; or six months to one_year related experience and / or training ; or equivalent combination of education and experience . work_environment while performing the duties of this job , the employee is regularly required to stand and frequently required to walk . the employee is occasionally exposed to fumes or airborne particles . medications bach f6f5fe bets arc setter prepare medi_cal responsibility .",338,0.001111181,17.75148,5.9171596,0,29.585798,2.9585798,0,0,5.9171596,0,14.792899,5.9171596,2.9585798,0,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,1,0,0,319092,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
201401_1307699,201401,"Prattville, AL",AL,,1001,autozone inc,441310,FALSE,autozone inc,441310,FALSE,41-1011.00,41.669998,Sales Managers,['High school or GED'],fe1c33a8,.,RETAIL SALES / STORE MANAGEMENT,http://www.careerbuilder.com/JobSeeker/Jobs/JobDetails.aspx?job_did=J3G4TG6RPM4SQBQXCRT&siteid=##siteid##,"retail_sales / store management auto zone is currently seeking candidates for store management and store retail_sales positions if you 're ready to see where your drive can take you and enjoy providing excellent customer_service , we 'd love to have you join the auto zone team . as an autozoner , you 'll be part of a multi-billion_dollar fortune_500 corporation that operates over 5000 stores in the united_states , puerto rico , mexico and brazil , and is the largest auto parts chain in america . job descriptionautozoners always put customers first , so before starting an application for employment , here are some things you need to know : we are looking for people that enjoy helping people . we are open evenings , week_ends and most holidays ; there may be times when you are asked to work these shifts . it 's possible for you to be scheduled for morning , afternoon , evening or midnight shifts . you may be asked to close_out and go home on very slow days , and you may be called in on busy days ( usually part_time sales positions ) . we do not offer set schedules . you will usually have two days off each week . in addition to the description listed above , there are some other expectations required of all store management candidates . they include , but are not limited to : motivate store autozoners to provide wow ! customer_service , enhance productivity level and market products to enhance sales and profits . supervise and schedule store personnel . training and development of store personnel . maintain all store financial , revenue and expense targets . capable of managing weekly and monthly p & l ; account abilities . ensure all company policies , procedures and loss_prevention are followed . maintains a safe working_environment while ensuring autozoners are implementing those practices including ppe ( personal protective equipment ) . maintain sales productivity and store appearance . conduct and review all opening and closing procedures . manage the commercial department ( as applicable ) to ensure commercial accounts are serviced and deliveries are made . maintains a working telephone for store security purposes . performs other related duties as_required . . although specific job_duties will differ depending on your store and position , there are some responsibilities that are required of all autozoner 's . they include , but are not limited to : must be at least 18 years old . have a high_school diploma or equivalent . previous retail or automotive after_market experience is preferred , but not required . able to lift , load , and deliver merchandise . ase certified preferred , but not required . demonstrate high_level of integrity . able to deliver customer_service . able to pass pre_employment background_check . arriving at your scheduled time . maintaining a positive enthusiastic customer_friendly attitude . following company policies , procedures and management direction . completing necessary training requirements . cleaning our own bathrooms . loading and unloading our trucks and stocking our own shelves . maintaining a professional appearance and following a company dress code . in addition to the requirements listed above , there are some other responsibilities that are required of all store manager candidates . they include , but are not limited to : 1-2 years of previous retail management experience is preferred . demonstrates ability to assess and develop talent . established time_management , prioritization and organizational_skills demonstrates ability to motivate and lead functional teams to deliver results demonstrates high_level of integrity come be a part of a team that helps keep the world 's vehicles moving forward ! auto zone , inc . is an equal_opportunity employer . keywords : retail_sales , sales , store managment , retail_store sales , retail_store manager",533,0.12349925,7.5046906,7.5046906,0,16.885553,0,0,1.8761727,7.5046906,0,9.3808632,3.7523453,3.7523453,1.8761727,0,55221,Autauga County,54571,594.44,91.8,matched (3),matched (3),10.919099,4.5196123,0,0,0,1,411011,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",12.832295,matched (3)
