id,description
17,"kirkland s inc . is a leading specialty retailer of home d cor in the united_states , operating 350 stores in 37 states . kirkland s was co-founded in 1966 by our current chair main emeritus , carl kirkland . we opened our first store in jackson , tennessee and have grown steadily thereafter . our stores offer a unique combination of style and value that has led to our emergence as a leader in_home d cor and has enabled us to develop a strong customer loyalty . your responsibility as a senior assistant manager is to assist the store manager in providing leadership and managing all processes of store_operations to maximize store sales and profits . you are required to take initiative , be creative and have the ability to exercise independent judgment . at some point in the future the company may need you to relocate to meet the needs of the business . should that occur , your position as senior assistant manager may be conditioned upon your ability to relocate at that time . key responsibilities establish and maintain relationships with customers to increase sales growth and repeat business through credit card , e_mail and designer program . create schedules that meet customer traffic needs . assist in hiring , training and the developing a strong store team to provide an inviting , enjoyable , and fulfilling shopping experience to all customers . manage employee performance by providing consistent and timely performance feedback to the team in partnership with the store manager . assist in timely completion of all auditing paperwork and opening and closing procedures as outlined by the operations manual . deliver store s daily business goals and meets weekly sales goals as established by the store manager . enter new hire information into the company s hr is system and complete i_9 forms for new hires in the company s i_9 system . requirements high_school diploma or equivalent . 1-3 years equivalent experience in retail preferred . able to lift and move 45 pounds or more on a regular_basis and climb ladders process information through pos register systems and back_office server work a minimum of 40 hours per week to include week_ends , holidays and evenings based on need of business have a valid driver s license and be able to travel to transport company funds daily to the bank location designated by kirkland 's . able to serve as a store manager within twelve months of assuming this position . preferred qualification sable to read and interpret company directives , handbook , and manuals . speak effectively before groups of customers or employees of organization . attend and participate in meetings as_required . benefits kirkland s offers a wonderful 401_k matching plan , an employee stock purchase plan , as well as comprehensive health , vision , and dental insurance . we also offer an employee discount which can be used in stores and even on gift cards ! we offer competitive_pay and most importantly a collaborative , creative and fun working atmosphere . if your skills match the needs of the business , the hiring manager will be in touch with you shortly . ."
20,"responsibilities : the sr . sales consultant-technology is a full_time role , and the person in this position will have ownership of the technology & tech services areas . s / he will be responsible for engaging and providing an exceptional experience for customers requiring technology products / services . s / he is expected to quickly build on_going customer_relationships and become a trusted ad_visor by utilizing advanced technology product and services knowledge to meet customers ' needs . the person in this role demonstrates a passion for the brand , technology products and services , and other products offered to our customers . s / he will utilize office depot 's proven sales principles to pro_actively engage customers , in order to drive the sales of technology products or services and properly assess customer_needs to ensure satisfaction in every interaction . the associate in this position is also responsible for the training of sales consultants , or other associates within the store regarding technology products , selling behaviors , attachments and services . additionally , s / he , will perform daily and weekly maintenance of the assigned area . qualifications : high_school diploma or equivalent education preferred with a minimum of 2 years of experience in related field other information : must be knowledgeable in the technology area must possess advanced selling skills must possess strong inter_personal and communication skills , which are necessary to establish a selling relationship with customers must be adaptable to a changing environment must be able to coach and train others in a professional environment possess excellent verbal and written communication skills must possess the ability to use technology applicable to role , and to access information necessary to complete daily responsibilities must possess ability to process information / merchandise through pos register system positive and engaging action_oriented integrity , accountability & trust demonstrate passion for the brand , products , services and solutions offered to our customers must possess a desire to continually develop personal selling skills and product knowledge drive for results decision quality patience pay , benefits and work_schedule : office depot offers competitive salaries , a benefits_package , which includes a 401 ( k ) and more , along with plenty of opportunity to move and grow within our organization ! for immediate consideration for this exciting position , please click the apply now button . equal employment opportunity : office depot is committed to providing equal employment opportunities in all employment practices . all qualified applicants will receive consideration for employment without regard to race , color , religion , sex , national origin , citizenship status , marital_status , age , disability , protected veteran_status , sexual_orientation or any other characteristic protected by law ." 
23,"765199 91b light-wheel vehicle mechanic location : pratt ville , alabama , united_states zip code : 36067 job category : mechanic and maintenance posted : 08 . 11 . 2016 got a knack for keeping cars and trucks on the road ? then join the army national_guard as a light-wheel vehicle mechanic and help keep freedom moving forward . as a light-wheel vehicle mechanic , you will have the opportunity to supervise and perform unit maintenance and recovery operations on gasoline - and diesel - fueled light-wheeled vehicles . in short , if it 's on wheels , you 'll work on it . and after your paid training , you 'll be qualified to maintain and repair any number of vehicle systems and components , preparing you to step right into a civilian vehicle maintenance career . earn while you learn get paid to learn ! join the guard and you will learn valuable job skills while earning a regular paycheck and qualifying for tuition assistance . job training requires 10 weeks of basic training , where you 'll learn basic soldiering skills , and 10 weeks of advanced individual training ( ait ) . part of this time is spent in the classroom and part in the field . requires military enlistment . applicants must meet minimum_qualifications . actual mos assignment may depend on mos availability . benefits subject to change . benefits / requirements benefits paid training . a monthly paycheck . montgomery gi bill . retirement benefits for part_time service . low_cost life_insurance ( up to $ 400 , 000 in coverage ) . 401 ( k ) -type savings_plan . student loan repayment program ( up to $ 50 , 000 , for existing loans ) . health_care benefits available . requirements high_school diploma or ged . must be between the ages of 17 and 35 . must be able to pass a physical exam and meet legal and moral standards . must meet citizenship requirements ( see national_guard . com for details ) . most non_prior service candidates will earn between $ 196 . 26 and $ 254 . 91 per drill weekend . programs and benefits are subject to change . this position may qualify for a bonus , ask your national_guard recruiter for the most up_to_date information . 765199 ."
26,tutors elect helps students across the country with every academic subject . students are in need of immediate help in reading . choose your own hours and days . earn extra money while you watch your students succeed ! reading tutors pratt ville . $ 34 - $ 39 an hour . ."
27,"position_summary as a bio environmental engineer in the us air_force , you ll ensure every environment where airmen work is a safe one . blending engineering and preventative medicine , bio environmental engineers use specialized survey instruments and equipment to identify and evaluate potential hazards that may exist in the workplace , such as exposure to toxic chemicals or intense noise . you will use these findings to develop plans and programs to prevent injuries and illnesses . key areas of focus are industrial hygiene , occupational health , radio logical health , and environmental protection . at the end of the day , your job is to promote the health and well_being of all air_force personnel . benefits the air_force benefits_package is unparalleled in the civilian world . benefits include : 30 days of vacation with pay each year . excellent health_care coverage for you and your family . a retirement pension after 20 years of qualifying service and a thrift savings program similar to 401 ( k ) . prestigious leadership , training and educational opportunities . free or low_cost world travel opportunities . qualifications this is an active_duty position as an air_force officer . to be considered , you must meet the following requirements : must be a us citizen age 18 42 . must be willing to relocate . possess a baccalaureate degree or higher in engineering from an institution accredited at the engineering level by the accreditation board for engineering and technology ( abet ) about the air_force our mission is to fly , fight and win in air , space and cyberspace . we live by three core values : integrity first , service before self and excellence in all we do . the air_force offers hundreds of careers , from health_care to engineering , in order to serve the american people and provide precise and reliable global vigilance , reach and power for the nation . go_to http : / / www . air_force . com / careers / detail / bioenvironmental-engineer to learn more . please click the live chat button to speak with an air_force ad_visor . there is no obligation on your part . bets arc setter bach f6f5fe ." 
31,"$ 1 , 320 weekly minimum scroll down for benefits and how to apply ! driver benefits : free medi_cal and dental insurance vision_insurance life and ad & d ; insurance teams average 4 , 000 miles / week , & start at 33 cents / mile ( plus safety bonuses & annual base pay increases ) stop chasing miles and come settle in with a place to call home 401_k retirement savings_plan your weekly pay is the greater of your actual activity earnings ( dispatched miles , pick_ups , deliveries , detention , special pay ) or the weekly wage minimum truck_driving requirements : successful completion of all driver qualification requirements as per part 391 fmcsa regulation & orientation training 2 years otr experience ( at least one_year flatbed ) haz_mat endorsement twic card no felonies experience with explosives and / or radioactive waste are both a plus 23 years or older bach f6f5fe bets arc setter ."
39,"urgent need for er rn needed for travel urgent need for er rn for facility in pratt ville , al- start dates for oct & nov- 13 / 26 week er contract w / possible extension ( 's ) - 36-40 hours per week with ot offered- all shifts available- reimbursements & up to $ 1 , 000 . 00 completion bonus- excellent benefits including medi_cal , dental , vision , 401_k & more- ask about our rewards and helping hands programs call paul today for immediate consideration 716-222-9539 "
47,"cracker barrel is born and bred in quality . in fact , quality is our way of life . you 'll find it at the heart of our home cooked meals , and at the foundation of our growing success . thanks to an exceptional team of hard_working individuals in over 615 locations throughout the us and our team of professionals at our corporate headquarters in lebanon , tn , we have been voted by restaurant and institutions magazine as american 's # 1 family dining concept 19 years in a row . what does it take to have one of the best restaurants in america ? it takes individuals who pride themselves on their strong leadership talents , demonstrate innovative ideas and have an unparalleled passion for their work . we are looking for restaurant managers for our store in pratt ville , alabama . if you have two years of recent restaurant management experience and you are interested in talking , please_apply in our career center . managers receive a generous compensation plan , including : medi_cal / dental / prescription drug plan / life_insurance employee discount paid vacation401 ( k ) savings_plan flexible schedules employment opportunities at cracker barrel old country store , inc . are open to all qualified applicants solely on the basis of their job_related experience , knowledge , skills , and abilities . qualified applicants are considered for all open positions for which they apply and for advancement without regard to race , color , religion , sex , sexual_orientation , national origin , age , marital_status , or the presence of a medi_cal condition or disability . ."
49,"position_summary a career in the air_force is n't your average desk job . in fact , our nation s airmen perform most of their daily tasks standing up , so when foot problems occur it s your responsibility as an air_force podiatrist to get them back_up on their feet . do what you do now : diagnose and treat a wide range of foot ailments ranging from injuries to physical abnormalities . but in the air_force , you will provide medi_cal attention to airmen s foot problems without the red tape and headache of a traditional civilian practice . key areas of focus include performing surgery , interpreting x_rays , conducting research , prescribing therapeutic devices , and supervising special health programs benefits the air_force benefits_package is unparalleled in the civilian world . benefits include : 30 days of vacation with pay each year . excellent health_care coverage for you and your family . a retirement pension after 20 years of qualifying service and a thrift savings program similar to 401 ( k ) . prestigious leadership , training and educational opportunities . free or low_cost world travel opportunities . qualifications this is an active_duty position as an air_force officer . to be considered , you must meet the following requirements : must be a us citizen age 18 42 . must be willing to relocate . must_have obtained a degree from a school or college of podiatry . at least two ( 2 ) years of podiatric surgical residency training with candidate eligibility or certification with either the american board of podiatric surgery ( a bps ) or american board of podiatric orthopedics and primary podiatric medicine ( abpoppm ) . a valid and current unrestricted license about the air_force our mission is to fly , fight and win in air , space and cyberspace . we live by three core values : integrity first , service before self and excellence in all we do . the air_force offers hundreds of careers , from health_care to engineering , in order to serve the american people and provide precise and reliable global vigilance , reach and power for the nation . go_to http : / / www . air_force . com / health_care / allied health to learn more . please click the live chat button to speak with an air_force ad_visor . there is no obligation on your part . ailments bets arc setter bach f6f5fe ."
51,"otr company driver job experienced cdl_a drivers needed otr company driver benefits exceptional weekly pay full , affordable benefits available ( bcbs medi_cal , dental vision , life , and short_term disability ) reliable home_time assigned equipment assigned dispatch ( 24 / 7 ) pet and rider program paid tolls no_touch freight otr driving requirements experienced drivers 23 years of age or older must_have current cdl_a license must pass a drug_test no more than 4 moving violations within the last 3 years must_have at least 6 months of experience multiple bonus programs $ 2000 sign_on bonus $ 0 . 08 fuel bonus quarterly safety bonus performance bonus , and more ! hiring area 100 mile radius from : madison , wi . , birmingham , al . , washington dc , atlanta , ga . , fort wayne , in . , indianapolis , in . , louisville , ky . , charlotte , nc . , new_york city , ny . , cincinnatti , oh . , columbus , oh . , philadelphia , pa . , pittsburgh , pa . , knoxville , tn . , memphis , tn . , nashville , tn . , richmond , va . & huntington , wv . 50 mile radius from : springfield , mo . & st . louis , mo . 25 mile radius from : ann arbor , mi . & detroit , mi . other states : il , ar , ct , de , ma , md , ms , nc , nj , sc rider ga bach f6f5fe bets arc setter oh ."
