,posting_id,description,train duties,accessory pop,receiving pop,priced changes,displayed changes,is showroom,aor recovery,repaired quality,showroom quality,sold floor,kept clutter,needed aspects,including entrance,organize channels,keep channels,on_going reinforcement,approach customer_service,completed excellence,may bachelors_degree,substitute bachelors_degree,include shipyard,streamline construction,setting shipyard,will z,have z,are shipyard,must_have construction,setting engines,piping knowledge,must installation,interpret installation,has employment,back_stock product,as_needed remains,pricing maintenance,operate receiving,receiving education,including profiles,lead resort,heads managers,inspects resort,affiliated organizations,made resort,exciting work,focus patients,evolve position,pays interview,discussed interview,is high_end,established therapy,foh employees,waitstaff bussers,being roberts,heard roberts,recording mailing,assist strain,hiring strain,stacking product,passed city,make meets,aid aspects,have orientations,been orientations,homeowner orientations,cracker barrel,pertaining loan,pertaining mortgage,dusting vaccumn,financing delivery,ashley furniture,tore offers,will hearing,evaluate hearing,barium results,diagnose treatment,receive pay,scheduling access,week_ends opportunity,pay bets,arise manage,advertising retail_sales,conducted increments,broken increments,ekg rhythms,maintaining grooming,including fast_food,cleaning fast_food,bathrooms gasoline,selling up_to_date,offers terms,register mortgage,champion company,discreet client,will coverage,respond activities,merchandising responsibilities,set flavor,tag displays,keep back_stock,working habits,initiative tasks,become vacuum,supplement activity,networking realty,processes objectives,creating mueller,ethics policies,move rv,portrait sales,high_energy personality,multi_task excellent,on_line support,regarding device,including impressions,complete resale,moe s,draw quality,examining cavity,including sores,recessed gums,bleeding gums,conduct data_entry,pursuing classroom,facilitate outcomes,following vehicle,arc initiatives,reach roberts,candidate bach,alternates recipes,using recipes,financing builds,concerning granting,extending lines,safekeeping contacts,needed tax,satisfy tax,examines evaluates,contact finance,sub recipient,assist grantee,homelessness assistance,cot ota,debilitating conditions,optimizing reliance,emerging treatment,alleviate discomfort,dpt communication,providing excellence,adheres organization,petroleum product,sells petroleum,windows articles,adjust articles,reach relay,meals activities,care conferences,passing trays,supplied state,hwy city,meet industry,are fleet,being fleet,reinforced fleet,training instructors,ensure license,snc fleet,maintain oil,identify hand,ensure fuel,forced turbine,planned turbine,inlcuding outage,typing guide,vary branch,branch responsibilities,depositing money,turn ip,turn equipment,hosted phones,will trailers,driving trailers,steering cruise,heated mirrors,polished aluminum,processing inventory,counting dates,respiratory therapy,detect identify,neutralize weapon,requested accordance,provide ls,will geophysics,be geophysics,managing geophysics,requested eh,as_needed anniston,dhs emergency,fe ma,experience distribution,know trade,provides handover,oncoming transition,done test,determine isolation,infrared heaters,fired burners,cat walks,reaching feet,adhering safety_standards,have proven,is intake,maximize increase,degree leadership,required share,collate reports,raise purchase,appropriated undertake,gcse level,management_systems data_entry,will please,apply shift,pertaining grounds,produce world_class,supporting men,extreme confidentiality,fast_paced response,would in_office,using intranet,study guide,competitive_pay life,n assist,ens health,invoiced manner,utilize specialty,teaching leadership,insures privacy,insure application,cut fiberglass,proper size,involved deployments,payroll personnel,needs mental_health,may carts,check voice,as_needed firm,will workforce,following workforce,reporting data_entry,weekly payroll,training temps,work split,investigate situations,conduct patrol,ax way,transport maintain,deceased maintain,morgue maintain,g4s client,possess service,combat arms,decreased expenses,oversee expansion,maximize center,carried employees,oversee calculation,banking finance,monitoring introduction,carrying technology,pre_planning technology,incoming goods,testing aerotek,routes results,etch pipe,assists everyone,bi_lingual experience,manufacturing spanish,are mbm,solve_problems changes,mill operations,designing purchasing,constructing purchasing,conform management,market_based management,bsee degree,cold food,mill organization,can personnel,licensed personnel,is medications,drawing medications,recommend employment,rmc managers,matching vacations,closed holidays,growing consumer,headquartered greenville,met profit,championing recognition,will dedication,posses dedication
0,201412_821540,"electrical engineer - robotics we are seeking an electrical engineer for the robotics and medi_cal systems program at sri international . you will join a high_performance team to lead the design of a new generation of robotic components , anthropomorphic systems and medi_cal robots using novel technologies . we are looking for demonstrated capability to innovate , lead new developments and turn ideas into functional systems . the candidate will have a passion for innovation and a proven record developing high_impact , but practical solutions for new technologies or products . the position will require a wide breath of technical and inter_personal skills , ranging from performing detailed engineering development to interacting with customers and developing a vision for new programs . responsibilities and opportunities for growth lead the development of novel embedded systems , sensors , motor controllers , communication systems and electronics in robotic systems generation , design and development of new ideas and turn them into functional prototypes planning , management and execution of development projects generate ideas for new programs and write proposals support the commercialization and transition of new technologies into the marketplace qualifications bs , ms or phd in electrical or computer engineering 5+ years of hands_on experience desired in robotics or related r & d ; fields solid electrical hardware design engineering skills coupled with analytical and test experience a combination of expertise in the following areas is desirable : - embedded software_development ( c / c++ ) targeting custom motor controllers and / or embedded devices- power electronics , analog and digital circuits , and motor driver systems- sensor design , development and integration- control theory implementation ( eg pid ) experience working with and developing for can or ether cat is a plus experience designing and managing printed circuit board ( pcb ) fabrication motivation and desire for hands_on design , development , and testing ability to self_manage time across multiple projects independently motivated to take action on high_level requirements robotics background desired other requirements -- there are no additional requirements for this position . eoe / aa sri international is an equal_opportunity / affirmative action_employer . background_check employment with sri international is contingent upon the satisfactory completion of a background_check . experience for combination bach f6f5fe bets arc setter with novel and hands_on .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,201601_3217988,"responsibilities : help manage ui asset delivery pipelines for 1 or more mobile game titles improve the visual quality of user interfaces , advertisements , and internal materials conceptualize using sketches and ai / psd utilize existing ui style and assets conceptualization and production of new templates , assets , and ui styles develop a respectable understanding of baseball , and other sports rules maintain up_to_date knowledge of mobile / gaming ui aesthetics and trends qualifications : 2-3 years professional experience in user interface art experience creating assets and styles for user interfaces on at least one published game , mobile preferred portfolio must showcase relevant and contemporary artistry and experience task driven , self_motivated and pro_active personality strong inter_personal skills to communicate effectively and contribute to team expert knowledge of adobe software suite , especially photoshop and illustrator nice to haves : hands_on unity experience familiar with jira knowledgeable sports fan # li-sr1 production bach f6f5fe bets arc setter of materials styles and of ui .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,201510_2135582,certificate of completion from ama approved school of radio logic technology ; current crt certificate ; california fluoroscopy permit ; ar rt registered ( or must acquire within 6 months of hire ) . .,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,201701_1784465,"job_title : production quality engineer duration : 1 . 6 years location : 127 independence drive , men lo park , ca , united_states job_description : the production quality engineer ( pqe ) will lead activities involving product impact assessments , product quarantine , non_conformance reporting / issue resolution , auditing of production areas , and procedural updates to ensure the process and documentation is compliant to 21crf820 , iso and internal requirements . actively participates in production investigative team and provides quality direction and support on the non_conformance process , product impact assessment , root_cause analysis and product quarantine as non_conformances arise . ensures non_conformance reports are initiated per established requirements and applicate activities are identified and implemented . responsible for performing and / or directing product quarantine activities , such as entering product into quarantine , completing quarantine documentation , reviewing / dis positioning non_conformance records for quarantine release and removal of product from quarantine area minimum of bachelor of science ( bs ) in engineering from an accredited college or university with 1-3 years experience in medi_cal device industry preferred : meets minimum requirments plus asq certification ( eg cqa , cqe , cqm ) . thanks & regards , apurva mishra | lead recruiter sunrise systems inc . transforming business . enhancing careers105 field crest ave suite # 504 , edison , nj 08837 , usa drequirementsnot specified apply for this job at : http : / / www . net_temps . com / job / r8y6 / 16-16354 / production quality engineer . html ? r=ajethis job is posted by net_temps , inc . search over 100 , 000 jobs with free resume posting and your personal job seekers desktop . .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,201601_675926,"develops project_management practices drives the execution of multiple business plans and projects for project_management ensures business needs are being met ensures project manager and senior project manager development and continued successful performance leads the development of e_commerce programs manages a large portfolio of projects through their life_cycle phases to successful completion manages geographically distributed teams , off_shore development teams and third_party vendors ( for example , software vendors , hardware vendors , photo vendors , content providers ) promotes and supports company policies , procedures , mission , values , and standards of ethics and integrity provides supervision and development opportunities for associates minimum_qualifications ; bachelors plus 5 years experience additional preferred_qualifications web or internet start_up environment and technical infrastructure management experience a big plus . req id 544719br bach f6f5fe bets arc setter performance qualifications software for project of and .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,201511_2340023,"five prime therapeutics , inc . ( nasdaq : fprx ) is a biotechnology company focused on discovering and developing trans formative protein-based medicines for patients with serious unmet medi_cal needs . the company has an emerging portfolio of innovative products for inflammation and cancer , and currently has 3 protein therapeutics in clinical testing covering 11 indications . fpa008 a monoclonal antibody targeting csf1r in multiple disease areas including six solid tumors , rheumatoid arthritis ( ra ) and pigmented villonodular synovitis ( pvns ) fpa144 a monoclonal antibody targeting fgfr2b for selected gastric cancers fp-1039 an fgf ligand trap in phase 1b for non-small cell lung cancer and mesotheliomafiveprime also focuses on developing world_class companion diagnostic and bio marker strategies for the appropriate therapeutic settings . five prime s discovery platforms can rapidly interrogate the entire extra cellular proteome in medically relevant in vitro and in vivo models leading to novel targets and drug leads . our technology has been validated by our growing pipeline and through multiple partnerships with pharmaceutical companies including glaxosmithkline , ucb , and bristol-myers squib b across a range of therapeutic indications . five prime is committed to innovation and outstanding science , values that are reflected in our people and our products . the position : five prime is seeking a motivated and ambitious project manager to provide project_management support to cross_functional development teams . this position will report into project team leadership . responsibilities include but are not limited to the following : the project manager will partner with project team members and other cross_functional partners to identify key deliverable s and ensure cross_functional alignment and accountability . working with program , sub-team and functional leaders , provide detailed planning , tracking , and execution support across all aspects of five prime development programs . generate and manage detailed integrated project plans and schedules . negotiate and resolve conflicts among team / functional members to accomplish project and business goals . track program progress relative to approved activities and budget . create and manage repositories for all project deliverable s co_ordinate development team meetings , agendas , minutes , and resources . assist in managing project communication tools and archives in order to provide up_to_date project information and documentation to team and functional management . assist in daily operational management of project activities to ensure execution of team deliverable s . facilitate cross_functional coordination , communication , and team_work across the development program . follow five prime s governance processes and procedures . responsible for migrating existing date into sharepoint intranet pages .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,201308_831484,"include : design and develop the underlying application infrastructure for the web and thick client applications in control center . work closely with product managers and cross_functional engineering teams to translate product requirements into high_level and detail designs . work closely with quality_assurance engineers to see software_development to completion and through the software release process . actively improve products , processes , and the company by playing an active ownership on the next labs engineering team . develop and own and the application framework used by all next labs products and customers . taking part in the development work of the policy framework and policy life_cycle management . take the lead the development of all control center web-applications and tools . requirements : bs / ms degree in computer_science or engineering . 6+ years of product_development experience , preferably in an enterprise software_development . 3+ years creating business web application solutions in a j2ee environment , using java , jsp , servlet , jsf , and / or jdbc technologies . 3+ years using internet client_side ui technologies including javascript , html , css , and dom . experience in ajax or other rich internet application ( ria ) technology , a plus . 1+ years experience using web service technologies including xml , soap , wsdl , and uddi . experience writing technical specifications to be used as basis for coding software . outstanding written and verbal skills . we are looking for highly_motivated candidates who are ambitious , self-assured , possess strong can_do attitude , and want to part of a world_class team . for immediate consideration , please e_mail your resume to : jobs @ next labs . com bach f6f5fe bets arc setter into process used html part customers a .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,201308_1922588,"position overview advanced set_up and operation of large and small-scale audio_visual systems with a specialty in either audio , video , computers , lighting , or rigging for live events while ensuring the utmost in client satisfaction . key job_responsibilities ( weight % ) equipment operation ( 30 % ) responsible for accurate set_up and efficient operation of advanced equipment as listed on addendum with specialty skills in one of the following areas : audio , video , computers , lighting or rigging . customer_service ( 30 % ) meets and strives to exceed the expectations and needs of internal and external customers . provide outstanding customer_service by establishing excellent working relationships with clients . provide estimation of labor costs . training / staff development ( 15 % ) create an atmosphere that fosters development of technical skills for other employees . co_ordinate on_the_job training for ets iii and ets ii to develop technical ability in specialty areas . event supervision ( 15 % ) perform advance work with project managers . supervise , and direct other technicians during an event . equipment maintenance ( 10 % ) assist team with proper security , storage , transportation , and maintenance of equipment . perform inventory and forecasting of equipment needs . . demonstrate ability to perform one advanced specialty skill level demonstrate ability to perform most level ii skills and all skills in specialty . high_school diploma required . bachelors_degree preferred minimum 3 years of field experience in specialty area able to interact professionally and effectively with a diverse work force , customer base and senior_level management experience with project_management of multiple tasks / initiatives strong customer , client and co_worker interface experience and abilities outstanding communication skills portrays a polished professional image to meet company dress code requirements must be able to accommodate a rotating work_schedule to include nights and week_ends . see required skills",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,201602_1571158,"double your miles with team truck_driving jobs at j & r ; schugel ! new dedicated reefer routes open for teams in georgia & the midwest when there are more miles , you make more money and with j & r ; schugel team truck_driving opportunities , you ll always have plenty of miles ! we re expanding new dedicated reefer lanes in florid a , with additional midwest to california routes also available . so team up and join jrs today for heavy_duty earning power , great home_time and more : competitive_pay with direct_deposit frequent home_time average 5 , 500 6 , 500 miles / week401 ( k ) retirement_plan and es op ( employee stock ownership plan ) 100 % apu_equipped trucks orientation pay ( plus company_paid transportation , motel and meals ) detention , layover and stop pay ( excluding 1st and last pick / drop ) fantastic company supporte-zpass and prep ass ; qualcomm in_cab scanning no_touch freight or forced dispatch to nyc100 % paid lumpersat j & r ; schugel , it s all about the driver ! call to hear more about our exciting team truck_driving opportunities today . qualifications : minimum age of 21must have valid class_a commercial driver s license recent otr experience must pass dot physical and drug screen safe driving_record ( no serious traffic violations or patterns of irresponsible driving ) if you are a recent cdl_a school graduate , contact j & r ; schugel to get your career started today ! bets arc setter bach f6f5fe have and with more .",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,201506_483349,"content publishing specialist content publishing specialists an bruno , ca compensation : $ 35 per hour responsibilities : supports content team in the weekly publishing of content across multiple content centers . as a subject_matter expert in the ektron cms tool and similar enterprise tools , defines publishing requirements and actively partners with product management to refine process and tool improvements as the needs of the business and technology change . conducts regular audits to ensure content accuracy and user experience and coordinates with content managers to make updates . troubleshoots content management tools , resolves technical issues autonomously and escalates to ektron support team as_needed . trains associates to use the enterprise cms and sets best_practices / workflow for the team . collaborates with content managers to advocate for the development of display-side innovations . provides consultancy on new page layout , new page / template design and tool integration s . collaborates with internal and external product manager teams to support content integration with proprietary back_end systems and from third_party providers . ensures compliance with company policies and procedures and supports company mission , values , and standards of ethics and integrity . . minimum_qualifications : bachelors_degree in communications , journalism , marketing , information management or related field and 1 year experience in editorial content management or related field or 4 years of experience in editorial content management or related field . must_have experience working within content management_systems . knowledge of web principles , on_line marketing best_practices html / css , basic java , linux / unix , photoshop skills , mobile design required . preferred_qualifications : 2 years of experience in editorial content publishing in an on_line creative or related digital field . 1 year of experience working with content management_systems or third_party systems / enterprise platforms . 1 year of experience working for or with developers and product managers . 1 year of experience project_management for website or on_line tool development . 1 year of experience of all major browsers and the special considerations required for all various quirks . san bruno , ca compensation : $ 35 per hour content publishing specialist",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
