customer_service culture,127
driving culture,127
perform range,9
include patient_care,10
are patient_care,10
limited patient_care,9
direct patient_care,10
limited dialysis,7
hemodialysis dialysis,7
earned degree,95
assesses patients,40
including testing,11
determine health,11
implement marketing,1
focus patients,1
may manager,3
be manager,3
assigned manager,4
following receipt,19
communicating patient,28
improve patient,20
developing relationships,23
evaluates care,17
ensure quality,11
including programs,45
starting programs,44
using files,44
use buttons,44
self_manage hr,44
include admission,13
skilled nursing,18
provide dialysis,1
work team,2
deliver dialysis,2
perform assessments,10
ensure implementation,2
analyze data,7
including status,4
make recommendations,20
develop care,5
provide education,24
provide ls,1
education bachelor,2
manages care,15
serving patient,10
including psycho_social,20
providing patients,36
skilled patients,7
identifying needs,33
making referrals,27
supervising lpns,20
providing teaching,20
include assessments,32
providing health,25
skilled health,13
home health,34
is quality,4
provide quality,7
requires use,5
teaching leadership,1
insures privacy,1
may areas,1
function areas,1
computerized tomography,1
are provision,3
assigned team,8
including rn,5
do admit,2
acting resource,2
demonstrates ability,18
testing serves,1
regarding employee,1
maintains availability,1
include implementing,12
developing implementing,12
revising plans,3
coordinating patient_care,14
providing intervention,6
setting nursing,3
using nursing,27
coordinating health_care,5
teaching health_care,3
meet needs,21
perform hire,1
post_offer hire,1
is values,2
based organization,2
acknowledges nurses,2
ana code,2
aacn model,2
s framework,2
supports vision,18
facilitating admissions,2
provides patient_care,33
seeks plan,1
ensure plan,1
implemented quality,1
encourages involvement,1
obtain health,1
makes nursing,6
assigned patient_care,4
determining eligibility,5
assesses status,6
is rooms,1
administered rooms,1
include rooms,1
operating rooms,6
develop plan,15
based evaluation,1
supervise performance,3
utilizing techniques,1
document process,1
include reactions,1
anesthesia provide,1
surgery provide,1
participate education,9
needed system,4
sustain system,4
include staff,9
nursing anesthesia,1
certified anesthetist,1
citizenship addition,1
reserve addition,1
permanent residency,5
is reserve,5
required reserve,5
setting monitoring,16
have eye,7
have vision,7
provides nursing,21
maintains quality_assurance,6
is job,7
challenging job,7
rewarding job,7
requires person,7
can home_care,3
work home_care,4
forgetting home_care,3
is team,8
assures quality,8
is accordance,7
provided accordance,5
documented accordance,5
has prn,1
setting equipment,3
monitoring equipment,1
arc bach,13
provides services,17
defined state,1
governing practice,1
provides life,3
is facility,4
relinquished facility,3
accepting facility,3
maintaining patient_care,3
used emergency,2
attends mission,2
completes documentation,6
needed ie,2
conducts aircraft,2
as_needed maintains,2
related care,9
ie state,2
elected complies,2
appointed complies,2
assure safety,2
liftoff functions,2
is stand,1
required stand,1
talk stand,1
hands objects,1
handle objects,1
feel objects,1
reach hands,1
assigned director,5
is summary,1
outlined duties,1
ensure patient_care,7
is functions,3
assessing implementing,80
planning implementing,123
evaluating programs,9
s leadership,1
collaborating leadership,1
assisting unit,1
maintaining skills,3
upgrading skills,1
supervising orientation,1
is nurse,30
nursing_care patients,13
scrub functions,3
including selection,3
is in_home,4
provide in_home,4
evaluates nursing_care,7
come operating,2
identify practitioner,1
provides nursing_care,44
participates preparation,3
active_duty bachelor,4
accredited accreditation,13
nursing ace,13
accepted secretary,13
must years,7
be years,7
must army,4
be army,4
evaluates systems,3
facilitate delivery,4
top diabetes,1
certified practitioner,2
labs patients,1
care monitors,1
might need,1
indicate need,1
may hyperglycemia,1
include hyperglycemia,1
tube feedings,1
completes admission,3
including documents,3
nursing documents,2
on_going assessments,3
progress administration,1
providesage communication,1
demonstrates service,4
will work,2
evening work,1
shift assignment,1
will weekend,1
work weekend,2
serves subject_matter,1
will implementation,6
be implementation,1
teaching needs,1
governed state,1
may assistance,2
include assistance,1
determine status,1
pending discharges,1
include s,13
following s,12
assess s,12
facilitate quality,12
adhering facility,5
is development,1
counseling monitoring,3
provide continuum,2
provides care,88
improve quality,11
conducts face_to_face,3
needs assessments,4
according state,6
s psycho_social,3
based data,3
develops member,3
as_needed effectiveness,3
evaluates effectiveness,10
makes revisions,5
advanced illness,4
assists member,5
medicare family,4
regarding health_care,7
needs benefits,3
required qualifications,10
travel offices,1
provider offices,1
typing proficiency,2
enter data,3
retrieve data,2
problem_solving skills,3
analyze problems,1
devise courses,1
communicate information,12
can ability,1
understand ability,1
understand information,1
interpret information,1
must distance,1
live distance,1
field_based case,1
identify gaps,7
working needs,1
have bio,1
needs skills,1
community_based care,1
has accountability,2
are develops,2
is adult,1
individualized adult,1
reflecting collaboration,1
draining wounds,6
skin problems,1
will facility,1
be facility,3
ensuring facility,1
according policy,5
include management,5
maximizing management,2
managing resources,2
promoting team,15
complying requirements,2
promoting climate,2
learning role,2
acting role,2
serving resource,6
implementing plan,3
staffing plan,2
participating member,2
interpreting data,3
including telemetry,3
ensuring orders,5
are competence,3
transcribed competence,3
processed competence,3
teaching patients,5
counseling patients,6
displaying attitude,2
rn charge,2
enjoy focus,3
creates challenging,3
will nursing_care,4
ensure nursing_care,3
is nation,8
provides intermediary,1
relates scripts,1
provides direction,17
patient_care assignments,1
assesses plans,12
patient_care participates,1
qa pi,1
ensure compliance,14
demonstrates growth,1
assigned cases,3
s degree,11
related operations,2
include members,2
working members,7
identified high_risk,2
achieve empowerment,2
facilitating schedules,1
related patient,4
specified patient,1
is gi,1
recruiting gi,1
are implementing,6
limited implementing,6
observing implementing,5
evaluating support,5
setting health,4
working health,4
address health,4
served communications,5
relates health,7
ensuring monitoring,4
ordering monitoring,4
reviewing monitoring,4
prescribed policies,4
ensure policies,4
are policies,5
medication storage,4
are progress,4
reviewed progress,4
revised progress,4
ensuring progress,4
are physician,4
made physician,4
s condition,4
transcribing transcription,4
ensuring transcription,4
required documentation,5
ensuring documentation,4
ensuring furnishings,4
are guidelines,4
maintained guidelines,4
established spread,4
prevent spread,4
supervising activities,9
follows sterile,1
according association,1
anesthesia nurses,1
aorn standards,1
evaluates s,1
patient pain,1
needs_based knowledge,1
performed education,1
required proficiency,34
leading patient_care,37
related activities,3
hr activities,2
used procedure,2
circulating functions,1
including monitoring,10
communicating condition,4
managing nursing_care,1
assists physician,5
operating physician,1
including hemostasis,2
positioning prepares,1
maximize safety,1
processing times,1
is patients,11
withprogram training,1
approved materials,2
execute quality,1
ensuring materials,6
training materials,1
support standard,2
accreditation standards,1
include nursing,17
evaluating patient,15
needs treatment,5
initiating treatment,5
coordinating treatment,5
revising treatment,5
rendering treatments,6
performing treatments,7
ordered participating,5
preparing reports,6
adhering practice,5
apply s,5
patient_care s,5
nursing experience,7
preferred driver,5
drive miles,5
pass level,5
charting skills,2
discusses plan,1
home_care nursing,1
can home,4
work home,9
forgetting home,4
assesses home,2
identify psycho_social,1
evidenced documentation,1
