,wage_amount,wage_frequency,starting_bonus,retirement_plans,insurance
0,[],,False,True,True
1,[],,False,True,False
2,"['196.26', '254.91']",weekend,False,True,True
3,[],,False,False,False
4,[],,False,True,True
5,[],,False,True,True
6,[],,False,True,False
7,[],,False,True,False
8,[],,False,True,True
9,[],,True,False,False
10,[],,False,True,False
11,[],,False,True,False
12,[],,False,True,False
13,[],,True,False,True
14,[],,False,True,True
15,[],,True,True,False
16,"['72,800']",year,True,False,False
17,[],,True,False,False
18,['20'],hour,False,False,False
19,"['500', '1000']",week,False,False,False
20,[],,True,True,False
21,[],,False,True,True
22,[],,False,True,False
23,[],,True,True,False
24,"['196.26', '254.91']",weekend,False,True,True
25,"['1,400', '1,700']",weekly,True,False,True
26,[],,False,True,False
27,[],,False,False,False
28,[],,False,True,True
29,[],,True,False,False
30,[],,False,True,False
31,[],,False,True,False
32,[],,False,True,True
